name,qtrly,shares,amount,net,xdate,paiddate,cost_amt,pct,actual
AH,0.3,1200,360.0,324.0,2025-03-13,2025-05-23,44400.0,0.73,0
AIMIRT,0.1433,12500,1791.25,1612.12,2025-05-19,2025-06-06,136250.0,1.18,0
BCH,0.12,4000,480.0,432.0,2025-05-02,2025-05-23,86800.0,0.5,0
DIF,0.2222,40000,8888.0,7999.2,2025-05-14,2025-06-09,524000.0,1.53,0
GVREIT,0.1984,75000,14880.0,13392.0,2025-05-28,2025-06-12,573000.0,2.34,0
IVL,0.175,9000,1575.0,1417.5,2025-05-27,2025-06-12,324000.0,0.44,0
JMART,0.24,6800,1632.0,1468.8,2025-05-09,2025-05-29,224400.0,0.65,0
JMT,0.38,9500,3610.0,3249.0,2025-02-25,2025-04-30,285000.0,1.14,0
KCE,0.6,6000,3600.0,3240.0,2025-03-24,2025-05-09,510000.0,0.64,0
MCS,0.2,81000,16200.0,14580.0,2025-04-18,2025-05-07,1198800.0,1.22,0
NER,0.05,32000,1600.0,1440.0,2025-04-24,2025-05-09,220649.6,0.65,0
RCL,0.5,27000,13500.0,12150.0,2025-03-12,2025-05-16,1046250.0,1.16,0
SCC,2.5,600,1500.0,1350.0,2025-04-02,2025-04-22,243000.0,0.56,0
SYNEX,0.1,15000,1500.0,1350.0,2025-04-30,2025-05-14,430500.0,0.31,0
TFFIF,0.1176,20000,2352.0,2116.8,2025-05-28,2025-06-16,150000.0,1.41,0
TOA,0.33,1000,330.0,297.0,2025-05-09,2025-05-23,26000.0,1.14,0
TVO,0.8,8000,6400.0,5760.0,2025-03-14,2025-05-16,192000.0,3.0,0
WHAIR,0.1372,60000,8232.0,7408.8,2025-05-26,2025-06-25,483000.0,1.53,0
WHART,0.193,20000,3860.0,3474.0,2025-05-19,2025-06-06,246000.0,1.41,0
